Consumer.No,Status,Name,Mobile,State,City,Discom,Sub_Division,SubStation,Address,Latitude/Longitude,New_Mtr.No,Agency,Field_Engg.,Field_User,Install_Date,Mtr_Make,Mtr_Type,Mtr_Model,BodySeal.No,TerminalSeal.No,ModemSeal.No,Box_Seal.No,Sim.No,Sim_IMEI.No,Initial_Reading,Closing_Reading,Final Reading-KWH,Final Reading-KVAH,Final Reading-KVA,Final Reading-KW,LTCTRatio,Sealed,GPSSignal,SIMPID,CM_NewMtrMF,con_mail,ins_remark,OLDMtrNo,OldMtrMake,Mtr.Location,Mtr.Feasibility,Exception,MeterStatus,CertifyPageNo,VerifiedMobile No.
9655520000,L&T,BALVINDER SINGH,903463215,Pun,Amsar,PCL,SDO21312,1146,"H.NO.2135/4 II LIG,KNL ABC HR IND",29.6680524/76.996887,GP4456803,SDO21312,SDO21312,XYZ,07-Mar-19,123,1-Phase,SKM-145,L6120612,6130213,L6120817,E2668701/E2668702,#89910100010162125,#8637090242697,0,0,9420,,0,0,1,1,,0,1,123@gmail.com,,257986,123,Out,,,,0,903463215
9558420000,L&T,LAJJA RAM,986193635,Pun,Amsar,PCL,SDO21312,1146,#2128/4 F.F. ABC HR IND,29.6657083/76.9973869,GP4456825,SDO21312,SDO21312,XYZ,07-Mar-19,123,1-Phase,SKM-145,E2668718,6132135,L6120636,E2668717/,#899101000090162323,#8637090242321,0,0,7219.81,,0,0,1,1,,0,1,123@gmail.com,,568328,123,Out,,,,0,986193635
3703220000,L&T,NIDHI,895089525,Pun,Amsar,PCL,SDO21312,1146,S/O INDER SINGH H NO 2173 G ABC HR IND,29.6657083/76.9973869,GP4456804,SDO21312,SDO21312,XYZ,07-Mar-19,123,1-Phase,SKM-145,L6120486,613960,L6120426,E26668711/E2668712,#899101000090101621,#8637090242967,0,0,5670,,0,0,1,1,,0,1,123@gmail.com,,231411,123,Out,,,,0,895089525
7925520000,L&T,RAHUL,905016018,Pun,Amsar,PCL,SDO21312,1146,"# 2172/4,F.F.,LIG HBC ABC HR IND",29.6680524/76.996887,GP4456802,SDO21312,SDO21312,XYZ,07-Mar-19,123,1-Phase,SKM-145,L6120390,613960,L6120072,E2668705/E2668706,#899101000090101621,#8637090242892,0,0,15122,,0,0,1,1,,0,1,123@gmail.com,,501777,123,Out,,metar body damze,,0,905016018
1013220000,L&T,VANDITA MITTAL,868407791,Pun,Amsar,PCL,SDO21312,1146,#2174/4 G.F. ABC HR IND,29.6657083/76.9973869,GP4456826,SDO21312,SDO21312,XYZ,07-Mar-19,123,1-Phase,SKM-145,L6120672,na,L6120697,E2668707/E2668708,#899101000090101621,#8637090242876,0,0,10681,,0,0,1,1,,0,1,123@gmail.com,OK,383072,123,Out,,,,0,868407791
4317147109,L&T,DARSHANA,819995088,Pun,Amsar,PCL,SDO21312,1146,2172 G/F SEC 4 ABC ABC HR-132001 IND,29.6658522/76.9973949,GP4456829,SDO21312,SDO21312,XYZ,07-Mar-19,123,1-Phase,SKM-145,E2668714,6131847,L6120507,E2668715/,#899101000090101623,#8637090242317,0,0,1673.6,,0,0,1,1,,0,1,123@gmail.com,,6778922,123,Out,,,,0,819995088
4106220000,L&T,MEENA SACHDEVA,946658159,Pun,Amsar,PCL,SDO21312,1146,#2170/4 G.F.LIG ABC HR IND,29.6664166/76.9974496,GP4456800,SDO21312,SDO21312,XYZ,07-Mar-19,123,1-Phase,SKM-145,L6120118,6130166,L6120320,E2668703/E2668704,#899101000090101621,#8637090243959,0,0,10923,,0,0,1,1,,0,1,123@gmail.com,,360911,123,Out,,,,0,946658159
9895220000,L&T,MEENA SHARMA,903617341,Pun,Amsar,PCL,SDO21312,1146,"2141/4,F.F.,LIG,H.B ABC HR IND",29.6668063/76.9950872,GP4457175,SDO21312,SDO21312,XYZ,07-Mar-19,123,1-Phase,SKM-145,E2668729,6132165,L6122390,E2668738/,#899101000090101624,#8637090242655,0,0,15853,,0,0,1,1,,0,1,123@gmail.com,,436398,123,Out,,,,0,903617341
1855520000,L&T,RAJ DULARI,941855202,Pun,Amsar,PCL,SDO21312,1146,"VIJAY JAIN #2174-P/4-5,F.F ABC HR IND",29.666276/76.9976761,GP4456801,SDO21312,SDO21312,XYZ,07-Mar-19,123,1-Phase,SKM-145,L6120241,613876,L6120730,E2668709/E2668710,#899101000090101621,#8637090242622,0,0,3124,,0,0,1,1,,0,1,123@gmail.com,,8056331,123,Out,,,,0,941855202
4598710000,L&T,NEHA CHOUDHARI,999209303,Pun,Amsar,PCL,SDO21312,1141,"SATPAL,H.2131 SEC 4,KNL ABC HR IND",29.6680524/76.996887,GP4456824,SDO21312,SDO21312,XYZ,07-Mar-19,123,1-Phase,SKM-145,E2668719,6132130,L6120706,E2668720/,#899101000090101622,#8637090242071,0,0,11300.6,,0,0,1,1,,0,1,123@gmail.com,,6484103,123,Out,,,,0,999209303
